date,Battery,
2024-11-27T16,203,275422
2024-11-27T17,190,275612
2024-11-27T18,-36,275576
2024-11-27T19,219,275795
2024-11-27T20,55,275850
2024-11-27T21,27,275877
2024-11-27T22,-24,275853
2024-11-27T23,674,276527
2024-11-28T00,1199,277726
2024-11-28T01,1574,279300
2024-11-28T02,1104,280404
2024-11-28T03,890,281294
2024-11-28T04,748,282042
2024-11-28T05,761,282803
2024-11-28T06,257,283060
2024-11-28T07,144,283204
2024-11-28T08,165,283369
2024-11-28T09,177,283546
2024-11-28T10,31,283577
2024-11-28T11,55,283632
2024-11-28T12,79,283711
2024-11-28T13,426,284137
2024-11-28T14,1081,285218
2024-11-28T15,618,285836
2024-11-28T16,277,286113
2024-11-28T17,294,286407
2024-11-28T18,253,286660
2024-11-28T19,137,286797
2024-11-28T20,154,286951
2024-11-28T21,109,287060
2024-11-28T22,196,287256
2024-11-28T23,427,287683
2024-11-29T00,971,288654
2024-11-29T01,1366,290020
2024-11-29T02,792,290812
2024-11-29T03,812,291624
2024-11-29T04,898,292522
2024-11-29T05,650,293172
2024-11-29T06,262,293434
2024-11-29T07,168,293602
2024-11-29T08,70,293672
2024-11-29T09,23,293695
2024-11-29T10,35,293730
2024-11-29T11,67,293797
2024-11-29T12,116,293913
2024-11-29T13,917,294830
2024-11-29T14,1081,295911
2024-11-29T15,89,296000
2024-11-29T16,85,296085
2024-11-29T17,73,296158
2024-11-29T18,70,296228
2024-11-29T19,109,296337
2024-11-29T20,190,296527
2024-11-29T21,277,296804
2024-11-29T22,200,297004
2024-11-29T23,593,297597
2024-11-30T00,2109,299706
2024-11-30T01,1390,301096
2024-11-30T02,894,301990
2024-11-30T03,775,302765
2024-11-30T04,792,303557
2024-11-30T05,792,304349
2024-11-30T06,294,304643
2024-11-30T07,72,304715
2024-11-30T08,22,304737
2024-11-30T09,3,304740
2024-11-30T10,24,304764
2024-11-30T11,111,304875
2024-11-30T12,166,305041
2024-11-30T13,265,305306
2024-11-30T14,938,306244
2024-11-30T15,233,306477
2024-11-30T16,138,306615
2024-11-30T17,70,306685
2024-11-30T18,118,306803
2024-11-30T19,92,306895
2024-11-30T20,102,306997
2024-11-30T21,89,307086
2024-11-30T22,80,307166
2024-11-30T23,810,307976
2024-12-01T00,3146,311122
2024-12-01T01,2927,314049
2024-12-01T02,1282,315331
2024-12-01T03,1119,316450
2024-12-01T04,980,317430
2024-12-01T05,881,318311
2024-12-01T06,328,318639
2024-12-01T07,54,318693
2024-12-01T08,36,318729
2024-12-01T09,26,318755
2024-12-01T10,24,318779
2024-12-01T11,45,318824
2024-12-01T12,181,319005
2024-12-01T13,1145,320150
2024-12-01T14,1311,321461
2024-12-01T15,75,321536
2024-12-01T16,12,321548
2024-12-01T17,68,321616
2024-12-01T18,-135,321481
2024-12-01T19,-115,321366
2024-12-01T20,-118,321248
2024-12-01T21,-80,321168
2024-12-01T22,-66,321102
2024-12-01T23,738,321840
2024-12-02T00,2751,324591
2024-12-02T01,2114,326705
2024-12-02T02,1279,327984
2024-12-02T03,796,328780
2024-12-02T04,696,329476
2024-12-02T05,413,329889
2024-12-02T06,458,330347
2024-12-02T07,162,330509
2024-12-02T08,85,330594
2024-12-02T09,13,330607
2024-12-02T10,80,330687
2024-12-02T11,108,330795
2024-12-02T12,391,331186
2024-12-02T13,2609,333795
2024-12-02T14,2298,336093
2024-12-02T15,302,336395
2024-12-02T16,117,336512
2024-12-02T17,171,336683
2024-12-02T18,-37,336646
2024-12-02T19,-112,336534
2024-12-02T20,-126,336408
2024-12-02T21,-8,336400
2024-12-02T22,12,336412
2024-12-02T23,986,337398
2024-12-03T00,2298,339696
2024-12-03T01,2302,341998
2024-12-03T02,1864,343862
2024-12-03T03,1207,345069
2024-12-03T04,871,345940
2024-12-03T05,885,346825
2024-12-03T06,374,347199
2024-12-03T07,354,347553
2024-12-03T08,69,347622
